Pub_ID,Pub_Name,Year,Journal,Publisher,Volume,Issue,Pages,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20
pub0000000038,Two Universal Primer Sets for Species Identification Among Vertebrates,2007,International Journal of Legal Medicine,,121,5,423-427,Takashi Kitano,Kazuo Umetsu,Wei Tian,Motoki Osawa,,,,,,,,,,,,,,,,
pub0000000039,Blood Feeding Patterns of Potential Arbovirus Vectors of the Genus Culex Targeting Ectothermic Hosts,2008,The American Journal of Tropical Medicine and Hygiene,,79,5,809-815,Sean P Graham,Hassan K Hassan,Craig Guyer,Nathan D. Burkett-Cadena,Micky D Eubanks,Charles R Katholi,Thomas R Unnasch,,,,,,,,,,,,,
pub0000000040,A Novel Strategy for Avian Species Identification by Cytochrome B Gene,2008,Electrophoresis,,29,11,2413-2418,James Chun-I Lee,Li-Chin Tsai,Mei-Tzu Huang,Jhe-An Jhuang,Cheng-Te Yao,Shih-Chien Chin,Lih-Chiann Wang,Adrian Linacre,Hsing-Mei Hsieh,,,,,,,,,,,
pub0000000041,Molecular insights into the relationships and biogeography of West Indian anoline lizards,1993,Biochemical Systematics and Ecology,,21,1,97-114,Carla A. Hass,Linda R. Maxson,S. Blair Hedges,,,,,,,,,,,,,,,,,
pub0000000042,Phylogenetic Relationships of Xenodontine Snakes Inferred From 12S and 16S Ribosomal RNA Sequences,2000,Molecular Phylogenetics and Evolution,,14,3,389-402,N Vidal,S G Kindl,A Wong,S B Hedges,,,,,,,,,,,,,,,,
pub0000000043,Identification of the source of blood meals in mosquitoes collected from north-eastern Australia,2019,Parasites & Vectors,,12,1,198,Narayan Gywaili,Andrew W. Taylor-Robinson,Richard S. Bradbury,David W. Huggins,Leon E. Hugo,Kym Lowry ,John G. Aaskov,,,,,,,,,,,,,
pub0000000044,Regional comparison of mosquito bloodmeals in South Australia: implications for Ross River virus ecology,2016,Journal of Medical Entomology,,53,4,902-910,E.J. Flies,A.S. Flies,S.R. Fricker,P. Weinstein,C.R. Williams,,,,,,,,,,,,,,,
pub0000000045,Identification of mosquito bloodmeals using mitochondrial cytochrome oxidase subunit I and cytochrome b gene sequences,2008,Medical and veterinary entomology,,22,4,386-393,J. S. Townzen,A. V. Z. Brower,D. D. Judd,,,,,,,,,,,,,,,,,
pub0000000046,Host-feeding patterns of Culex tarsalis in the Sacramento Valley California with notes on other species,1967,Journal of Medical Entomology,,4,3,315-318,C. H. Tempelis,R. K. Washino,,,,,,,,,,,,,,,,,,
pub0000000047,The Culicidae of the Australasian Region,1988,,Canberra: Australian Government Publishing Service,9,,1-174,David J. Lee,Megan M. Hicks,Mabel Griffiths,Margaret L. Debenham,Elizabeth N. Marks,Joan H. Bryan,,,,,,,,,,,,,,
