Pub_ID,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,"""Form""",Record_ID,Notes
pub0000000003,Culicinae,Culicini,Culex,Phenacomyia,corniger,null,null,sp0000000103,
pub0000000003,Culicinae,Culicini,Culex,Culex,chidesteri,null,null,sp0000000104,
pub0000000003,Culicinae,Culicini,Culex,Culex,janitor,null,null,sp0000000105,
pub0000000003,Culicinae,Culicini,Culex,Culex,secutor,null,null,sp0000000106,
pub0000000003,Culicinae,Culicini,Culex,Culex,nigripalpus,null,null,sp0000000107,
pub0000000003,Culicinae,Culicini,Culex,Culex,quinquefasciatus,null,null,sp0000000108,
pub0000000003,Culicinae,Culicini,Culex,Melanoconion,atratus,null,null,sp0000000109,
pub0000000003,Culicinae,Culicini,Culex,Melanoconion,opisthopus,null,null,sp0000000110,
pub0000000003,Culicinae,Culicini,Culex,Melanoconion,erraticus,null,null,sp0000000111,
pub0000000003,Culicinae,Culicini,Culex,Melanoconion,iolambdis,null,null,sp0000000112,
pub0000000003,Culicinae,Culicini,Culex,Melanoconion,inhibitator,null,null,sp0000000113,
pub0000000003,Culicinae,Culicini,Culex,Melanoconion,pilosus,null,null,sp0000000114,
pub0000000003,Culicinae,Culicini,Culex,Melanoconion,panocossa,null,null,sp0000000115,
pub0000000003,Culicinae,Culicini,Culex,Micraedes,arawak,null,null,sp0000000116,
pub0000000003,Culicinae,Mansoniini,Coquillettidia,Rhynchotaenia,nigricans,null,null,sp0000000117,
pub0000000003,Culicinae,Mansoniini,Mansonia,Mansonia,titillans,null,null,sp0000000118,
pub0000000003,Culicinae,Mansoniini,Mansonia,Mansonia,flaveola,null,null,sp0000000119,
pub0000000003,Culicinae,Mansoniini,Mansonia,Mansonia,dyari,null,null,sp0000000120,
pub0000000003,Culicinae,Orthopodomyiini,Orthopodomyia,null,waverleyi,null,null,sp0000000121,
pub0000000003,Culicinae,Aedini,Psorophora,Psorophora,ciliata,null,null,sp0000000122,
pub0000000003,Culicinae,Aedini,Psorophora,Janthinosoma,johnstonii,null,null,sp0000000123,
pub0000000003,Culicinae,Aedini,Psorophora,Janthinosoma,ferox,null,null,sp0000000124,
pub0000000003,Culicinae,Aedini,Psorophora,Grabhamia,infinis,null,null,sp0000000125,
pub0000000003,Culicinae,Aedini,Psorophora,Grabhamia,jamaicensis,null,null,sp0000000126,
pub0000000003,Culicinae,Aedini,Psorophora,Grabhamia,insularia,null,null,sp0000000127,
pub0000000003,Culicinae,Aedini,Psorophora,Grabhamia,pygmaea,null,null,sp0000000128,
pub0000000003,Culicinae,Aedini,Aedes,Ochlerotatus,taeniorhynchus,null,null,sp0000000129,
pub0000000003,Culicinae,Aedini,Aedes,Ochlerotatus,sollicitans,null,null,sp0000000130,
pub0000000003,Culicinae,Aedini,Aedes,Ochlerotatus,pertinax,null,null,sp0000000131,
pub0000000003,Culicinae,Aedini,Aedes,Ochlerotatus,hemisurus,null,null,sp0000000132,
