node,taxonomy_tips,backbone_tips,simulated_tips,backbone_monophyletic,simulated_monophyletic,backbone_birth,simulated_birth,backbone_death,simulated_death,warnings
Sabethini,433,10,433,True,True,0.20343975642479967,0.19002932893427804,0.13727498434879737,0.08318387182110204,
Isostomyia,4,0,4,False,True,,0.13023618387825403,,0.0,
IsostomyiaIsostomyia,4,0,4,False,True,,0.13023618387825403,,0.0,
Onirion,7,0,7,False,True,,1.0000000282819324,,1.0000000272819323,
OnirionOnirion,7,0,7,False,True,,1.0000000282819324,,1.0000000272819323,
Runchomyia,8,0,8,False,True,,0.30077607848990023,,0.0,
RunchomyiaRunchomyia,8,0,8,False,True,,0.30077607848990023,,0.0,
Sabethes,41,2,41,True,True,0.09004955976557925,0.12531667886925243,0.0,0.03965315905262751,
SabethesSabethes,41,2,41,True,True,0.09004955976557925,0.12531667886925243,0.0,0.03965315905262751,
Shannoniana,3,0,3,False,True,,4.705254386757378,,4.317628590020408,
ShannonianaShannoniana,3,0,3,False,True,,4.705254386757378,,4.317628590020408,
Topomyia,65,0,65,False,True,,0.6010073107470039,,0.40073124638126817,
TopomyiaTopomyia,65,0,65,False,True,,0.6010073107470039,,0.40073124638126817,
Trichoprosopon,13,1,13,True,True,0.001000000001,0.1311299446122837,1.0000000010000002e-12,0.0,
TrichoprosoponTrichoprosopon,13,1,13,True,True,0.001000000001,0.1311299446122837,1.0000000010000002e-12,0.0,
Tripteroides,122,3,122,True,True,0.0982640578183516,0.1805227240276122,0.0,0.07323453181615878,
TripteroidesPolylepidomyia,19,1,19,True,True,0.001000000001,0.19283054463416943,1.0000000010000002e-12,0.12144465341937132,
TripteroidesRachionotomyia,14,1,14,True,True,0.001000000001,0.0986469395506047,1.0000000010000002e-12,0.043610321964241375,
WyeomyiaCaenomyiella,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
WyeomyiaCruzmyia,4,0,4,False,True,,0.3204491849402722,,0.0,
WyeomyiaDecamyia,3,0,3,False,True,,0.3781883797476953,,0.0,
WyeomyiaDendromyia,6,0,6,False,True,,0.3184516856615351,,0.03422127624050968,
WyeomyiaDodecamyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
TripteroidesRachisoura,28,1,28,True,True,0.001000000001,0.11596990634964709,1.0000000010000002e-12,0.0,
TripteroidesTricholeptomyia,9,0,9,False,True,,1.0000000282819324,,1.0000000272819323,
TripteroidesTripteroides,52,0,52,False,True,,0.4491237311476037,,0.3502236492064751,
Wyeomyia,140,3,140,True,True,0.1725588520391942,0.3879901189531702,0.0,0.3126375251902684,
WyeomyiaAntunesmyia,3,0,3,False,True,,2.390485476377281,,0.0,
WyeomyiaExallomyia,3,0,3,False,True,,0.5051540094656077,,0.33618487389140334,
WyeomyiaHystatomyia,9,0,9,False,True,,0.3696314260909208,,0.20702311876590077,
WyeomyiaMenolepis,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
WyeomyiaMiamyia,7,0,7,False,True,,0.28668073668373406,,0.0,
WyeomyiaNunezia,3,0,3,False,True,,0.30340378181657307,,0.23332974625224331,
WyeomyiaPhoniomyia,22,0,22,False,True,,0.4070848000601508,,0.24446887366338554,
WyeomyiaProsopolepis,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
WyeomyiaSpilonympha,7,0,7,False,True,,0.4153759628929329,,0.0,
WyeomyiaTriamyia,2,0,2,False,True,,0.16393642117635102,,0.0,
WyeomyiaWyeomyia,35,3,35,True,True,0.11154925701039844,0.1517759292873919,0.0,0.09034200381959497,
WyeomyiaZinzala,2,0,2,False,True,,2.854235767700131,,0.0,
Wyeomyiasubgenusuncertain,30,0,30,False,True,,0.33373187306966506,,0.08680875670909394,
Toxorhynchitini,90,4,90,True,True,1.0000000282819324,0.312974492868312,1.0000000272819323,0.25240499756493556,
Toxorhynchites,90,4,90,True,True,1.0000000282819324,0.312974492868312,1.0000000272819323,0.25240499756493556,
ToxorhynchitesAfrorhynchus,19,0,19,False,True,,0.33027831158953075,,0.0,
UranotaeniaPseudoficalbia,150,0,150,False,True,,0.6132392779060892,,0.3326991979801814,
UranotaeniaUranotaenia,121,3,121,True,True,0.09793728586798428,0.3109443825932273,0.0,0.2404157173481186,
ToxorhynchitesAnkylorhynchus,4,0,4,False,True,,0.6227693283076052,,0.0,
ToxorhynchitesLynchiella,17,3,17,True,True,0.19636517253255484,0.32038471852015293,0.02735998373994323,0.31878396430052197,
ToxorhynchitesToxorhynchites,50,1,50,True,True,0.001000000001,0.21805165815134525,1.0000000010000002e-12,0.14782680283773725,
Uranotaeniini,271,3,271,True,True,0.18683803376993063,1.0000000282819324,0.08339735516834232,1.0000000272819323,
Uranotaenia,271,3,271,True,True,0.18683803376993063,1.0000000282819324,0.08339735516834232,1.0000000272819323,
